"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu May 23 02:11:35 IST 2024","Thu May 23 02:12:28 IST 2024","52212","chromium","dashboard/basic.spec.ts","Spira Team Test Cases > is able to navigate to dashboard","","","is able to navigate to certificates",""
"skipped","Thu May 23 02:12:28 IST 2024","Thu May 23 02:12:28 IST 2024","0","chromium","dashboard/basic.spec.ts","Spira Team Test Cases > is able to navigate to dashboard","","","is able to navigate through help bot",""
"passed","Sat May 18 02:01:15 IST 2024","Sat May 18 02:01:17 IST 2024","1901","chromium","spira-team/basic.spec.ts","Spira Team Test Cases","","","create a new test case",""
"passed","Sat May 18 02:01:11 IST 2024","Sat May 18 02:01:13 IST 2024","1614","chromium","spira-team/basic.spec.ts","Spira Team Test Cases","","","is able to login",""
"broken","Wed May 15 01:10:19 IST 2024","Wed May 15 01:10:52 IST 2024","32953","webkit","CustomerArea/basic.spec.ts","Inflectra Customer Area","","","is able to login",""
"failed","Thu May 23 02:19:55 IST 2024","Thu May 23 02:20:00 IST 2024","5405","chromium","home-page/basic.spec.ts","Inflectra Customer Area","","","is able to login",""
"failed","Tue May 14 23:31:28 IST 2024","Tue May 14 23:31:34 IST 2024","5500","chromium","example.spec.ts","Inflectra Customer Area","","","get started link",""
"passed","Thu May 23 20:04:58 IST 2024","Thu May 23 20:05:03 IST 2024","4883","chromium","dashboard/courses.spec.ts","SBT Deshboard Courses Validations > is able to buy free course","","","content is locked before purchasing",""
"passed","Thu May 23 20:04:02 IST 2024","Thu May 23 20:04:47 IST 2024","45064","chromium","dashboard/basic.spec.ts","SBT Deshboard > is able to navigate to dashboard","","","is able to navigate through help bot",""
"passed","Wed May 15 01:25:35 IST 2024","Wed May 15 01:25:46 IST 2024","10956","chromium","CustomerArea/basic.spec.ts","Inflectra Customer Area","","","get cloud subscriptions",""
"passed","Wed May 15 01:10:25 IST 2024","Wed May 15 01:10:30 IST 2024","4126","webkit","CustomerArea/edge.spec.ts","","","","customer area is not accessable without correct cred",""
"failed","Tue May 14 23:31:28 IST 2024","Tue May 14 23:31:35 IST 2024","6852","chromium","example.spec.ts","Inflectra Customer Area","","","is able to login",""
"passed","Thu May 23 20:05:03 IST 2024","Thu May 23 20:05:07 IST 2024","4768","chromium","dashboard/courses.spec.ts","SBT Deshboard Courses Validations > is able to buy free course","","","is able to access the purchased course content",""
"failed","Sat May 18 00:06:38 IST 2024","Sat May 18 00:06:55 IST 2024","17209","chromium","spira-team/basic.spec.ts","Spira Team Test Cases","","","execute the test case",""
"failed","Fri May 17 22:02:12 IST 2024","Fri May 17 22:02:31 IST 2024","18653","chromium","spira-team/basic.spec.ts","Spira Team","","","customer area is not accessable without correct cred",""
"broken","Wed May 15 01:10:19 IST 2024","Wed May 15 01:10:53 IST 2024","34100","firefox","CustomerArea/basic.spec.ts","Inflectra Customer Area","","","get cloud subscriptions",""
"passed","Thu May 23 02:10:59 IST 2024","Thu May 23 02:11:02 IST 2024","2339","chromium","dashboard/basic.spec.ts","Spira Team Test Cases > is able to navigate to dashboard","","","is able to navigate to Support",""
"passed","Wed May 15 01:10:19 IST 2024","Wed May 15 01:10:24 IST 2024","5324","firefox","CustomerArea/edge.spec.ts","","","","customer area is not accessable without correct cred",""
